MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
-435.284,-20.337034,5.9335537,35.876266,-9.488761,23.644913,-0.71659017,-2.5313952,7.808864,6.9727015,10.294083,13.45436,-2.4262962
-512.33954,1.4624305,1.2197548,33.181038,-12.370001,16.45643,1.1007661,-5.9026756,0.21957731,8.018038,12.251805,11.640211,3.229303
-608.95105,21.391361,7.4282985,17.793238,-4.117614,7.2260356,10.184391,-5.0860286,-0.29443902,8.903541,10.896727,7.2420506,4.3054495
-642.8103,11.707998,9.597205,9.317398,7.7173195,6.375217,6.6731935,5.7886415,5.4569254,7.2677693,6.799115,4.626834,5.1843195
-648.29755,5.927107,5.9100556,5.8817663,5.8424244,5.7922935,5.731703,5.661054,5.5808,5.491475,5.3936343,5.2879043,5.1749396
-650.3111,3.0839834,3.0802374,3.0739944,3.0652685,3.0540671,3.0404072,3.0243008,3.0057788,2.9848447,2.9615445,2.9358969,2.9079387
-652.10144,0.5529678,0.5520538,0.55053055,0.54840297,0.5456692,0.5423373,0.53840923,0.53389776,0.52878886,0.5231094,0.5168591,0.5100483
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
