Raw_Frame,Hanning_Windowed,Hamming_Windowed
1.1641532e-10,0.0,9.313225746154793e-12
0.0,0.0,0.0
1.0913936e-11,2.6926843980712873e-15,8.755921833482377e-13
-1.4551915e-11,-8.077222723150745e-15,-1.171584263174648e-12
-8.731149e-11,-8.614464190301548e-14,-7.064172380166869e-12
-2.910383e-11,-4.4858698192867977e-14,-2.3695764388761366e-12
4.3655746e-11,9.687287231470699e-14,3.5815826973375784e-12
7.2759576e-11,2.1969916069139048e-13,6.022889319182826e-12
-3.274181e-11,-1.2908947277483115e-13,-2.7381070560588797e-12
-2.1827873e-11,-1.0888116539836988e-13,-1.8464004995705242e-12
-1.4551915e-11,-8.957911199004113e-14,-1.246566001300187e-12
1.1641532e-10,8.667512939559606e-13,1.0110636936594277e-11
1.0186341e-10,9.021404905010346e-13,8.979041779146393e-12
1.6007107e-10,1.6629134418368395e-12,1.4335565767452729e-11
-4.3655746e-11,-5.256858580378905e-13,-3.976090644202907e-12
0.0,0.0,0.0
5.820766e-11,9.143503519988422e-13,5.4978151969163314e-12
-5.820766e-11,-1.0315148841532074e-12,-5.605606566498346e-12
8.731149e-11,1.733408760180044e-12,8.579655368981736e-12
-1.4551915e-11,-3.21648150578184e-13,-1.4600695168012786e-12
-7.2759576e-11,-1.7805535646347005e-12,-7.45887537081067e-12
5.0931703e-11,1.3729822538414116e-12,5.337679937476821e-12
1.4551915e-11,4.301490192721725e-13,1.5598903159997478e-12
4.3655746e-11,1.4091194862732533e-12,4.788849582179441e-12
-4.3655746e-11,-1.5328299365882846e-12,-4.902663196469269e-12
6.548362e-11,2.4923218275886733e-12,7.53162556359365e-12
-8.731149e-11,-3.5904831449160204e-12,-1.0288163802938834e-11
2.910383e-11,1.2892520079120722e-12,3.514418283817805e-12
-5.820766e-11,-2.7698973290965847e-12,-7.2049184158462544e-12
-1.4551915e-11,-7.419470365812919e-13,-1.846744491924138e-12
2.7284841e-11,1.4869348316774296e-12,3.550767329398265e-12
-5.820766e-11,-3.3828653951439347e-12,-7.768849036609816e-12
0.0,0.0,0.0
0.0,0.0,0.0
