MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Delta9,Delta10,Delta11,Delta12,Delta13,DeltaDelta1,DeltaDelta2,DeltaDelta3,DeltaDelta4,DeltaDelta5,DeltaDelta6,DeltaDelta7,DeltaDelta8,DeltaDelta9,DeltaDelta10,DeltaDelta11,DeltaDelta12,DeltaDelta13
-20.6941,113.59274,-19.974491,13.714664,-19.884748,-24.60262,-33.879574,12.43574,22.862492,-28.56628,-4.4485555,12.491106,-16.130314,18.298855,13.333742,-9.803469,-1.8569847,0.5047247,2.7410614,-4.1919613,0.76938653,1.9337921,-1.7027268,-0.14671393,1.4026282,-0.95356244,-25.70627,-7.5167084,0.27370247,-2.3401976,3.9707074,2.7969465,2.358673,-0.4429304,-1.1182808,2.693059,0.071227305,-0.48769486,0.8661213
-21.336838,115.716156,-46.378376,-2.2795846,-7.1176844,-0.8933194,-37.376686,5.80156,17.033564,-24.180754,1.8277144,17.186216,-6.9553585,-0.44513085,7.4797516,-9.465775,-4.084462,1.8159627,3.5376606,-2.499304,0.9689472,1.5245554,-0.11210037,-0.21324565,1.692942,-0.039807446,-20.286003,-6.019541,4.3131084,0.13269977,3.0798492,0.70345736,2.4275205,-0.1697866,-0.45765793,2.1855493,-0.29882732,-0.65429443,-0.20023616
-57.927425,118.90804,-46.3846,0.48199517,12.234392,8.8480425,-43.991028,-1.2275453,6.7353725,-17.593971,8.498899,14.404279,-11.402365,-17.0349,1.8123895,-7.4714246,-5.1733866,4.304098,5.281371,-0.23985882,0.82751435,0.94456315,1.1279832,-0.19098671,1.5064963,0.5684155,-12.256136,-2.5050786,5.796097,1.7890271,-0.31180805,-2.3024073,1.233846,-0.020023663,-0.15374307,0.605104,-0.38228035,-0.38423738,-0.5369395
-113.86545,115.627075,-39.59088,2.3962133,19.453007,6.009185,-40.708202,2.3163133,11.220552,-12.999181,3.0986667,6.898511,-20.002274,-25.277771,-5.028203,-0.9534979,-4.642451,5.0526333,4.7862053,0.3779169,0.105574645,-0.77940214,2.3138876,0.15228924,0.36048493,1.4535737,-3.402792,-5.1169605,6.0024643,0.97806346,-2.2451963,-2.5568492,0.5388993,0.52518463,-0.43605796,-0.28188974,-0.25657117,-0.6158834,0.498793
-145.8878,115.748535,-37.404503,2.2413886,12.933857,2.1686757,-33.546913,7.8779793,19.267937,-12.451855,-3.388704,12.340792,-16.715006,-25.67019,-15.077727,6.5486174,-1.3728772,2.9717607,3.933555,1.5606244,-1.1786597,-2.0039325,2.679717,-0.016780186,-1.0779531,1.1313684,5.202073,-11.125525,6.0162163,1.2727621,-2.7844481,-0.1135064,1.1992623,-0.802015,-1.010263,-0.32990646,-0.19946359,-0.9055505,1.1233655
-162.49425,111.70943,-32.51336,-3.2457743,12.1793,-1.6618648,-34.380035,10.684303,21.035763,-11.8824215,-2.3704703,17.119415,-17.334501,-19.977224,-23.028126,11.101504,1.3477348,0.2603725,2.7392006,2.7008114,-1.884512,-2.0455184,2.2247508,-0.5011555,-1.654663,0.87277627,10.309005,-11.617913,4.139696,2.0878992,-2.2119715,1.3019675,0.8905158,-2.0727513,-1.4716433,-0.14094129,0.36969328,-0.7439627,0.86991924
-203.83939,109.42265,-36.49327,-8.983255,13.493996,5.6012893,-32.07965,8.984341,17.712416,-15.585984,-0.70507073,18.33655,-12.749666,-12.729011,-26.66236,11.484665,2.8404484,-2.1091635,2.4622529,3.7012894,-2.443971,-1.9385892,1.6493082,-0.5892966,-1.1343676,1.5423849,9.349482,-6.2397585,1.3184643,2.9839058,-1.2451028,0.86723083,0.5854475,-1.9840599,-1.139872,-0.036354877,0.5456893,-0.27611193,0.0063104946
-203.42604,40.17682,0.18751448,-17.914246,18.052967,12.003763,-35.532356,6.583731,2.1889777,-6.95286,3.3817897,7.3353343,1.4686859,-8.898328,-26.513414,9.890201,4.1173706,-2.9386222,2.9058533,4.0198503,-3.1157665,-2.3644133,1.6860934,0.1309866,-0.636088,2.1995528,3.3376393,1.2922806,-2.1033201,2.614556,-0.7400173,-0.19637612,0.7166837,-0.591677,0.3252785,0.19354945,0.16350256,0.15353929,-0.5047402
-184.06688,-50.196556,36.615303,10.990623,7.0022993,28.269032,-19.391186,-13.028724,-4.005381,-2.574629,0.10345465,-0.8113905,-5.471114,-10.689981,-23.666136,8.413228,4.8386717,-3.1152728,2.7491379,3.8656988,-3.427014,-2.7086751,1.7933104,0.817683,-0.66505456,2.0677025,-3.4828682,8.50399,-4.272784,0.95756465,-0.7667578,-1.3413969,0.31530863,0.7681543,1.2698147,-0.05391745,0.101328805,1.1127343,-0.3331404
-167.1224,-63.57067,37.777252,23.016357,1.2719578,21.773504,-18.269135,-16.025536,-0.68898004,-4.313628,-0.205504,2.060672,-10.038967,-14.571358,-19.026752,6.491046,5.2686443,-3.2579126,2.2120159,3.6952522,-2.7279835,-1.8786231,1.7273811,0.7598804,-0.49593684,1.7736402,-8.181988,12.017876,-4.881579,-1.0380689,0.048684247,-1.6974196,-0.708089,1.9081837,1.7244948,-0.3719213,0.16788279,1.327457,-0.38810065
