Time (s),Amplitude,Frequency (Hz),Magnitude
0.0,-1.1537483350206275,0.0,18.73519927485513
6.25e-05,1.1258536228877931,40.0,15.775731907666316
0.000125,-1.1336997823715038,80.0,18.084054692503415
0.0001875,1.1342333481779932,120.0,17.703643593619148
0.00025,-1.1290766961752214,160.0,25.22910078827837
0.0003125,1.12036134263811,200.0,55.12412883614182
0.000375,-1.1094532484282755,240.0,76.65602581852323
0.0004375,1.0971985503162522,280.0,57.14429539676151
0.0005,-1.0841332580673273,320.0,56.56038670777627
0.0005625000000000001,1.0706066154742273,360.0,53.85597860975288
0.000625,-1.0568518632444606,400.0,30.800730594139463
0.0006875,1.043027817569555,440.0,4.4114171150607016
0.00075,-1.0292441212330923,480.0,33.96454719445362
0.0008125000000000001,1.015577087911611,520.0,43.01049783231127
0.000875,-1.0020799451236078,560.0,56.02014189675854
0.0009375,0.9887896341691561,600.0,73.6815697803313
0.001,-0.9757314312710291,640.0,27.97541215886576
0.0010625,0.9629221531391318,680.0,58.35678556715901
0.0011250000000000001,-0.9503724210532336,720.0,72.91819818913953
0.0011875,0.9380882853828686,760.0,74.04994441105121
0.00125,-0.9260724074005438,800.0,77.40669313338012
0.0013125,0.9143249294769097,840.0,46.0474325642283
0.001375,-0.9028441225108854,880.0,30.70940025393649
0.0014375,0.8916268720055763,920.0,9.353552233238318
0.0015,-0.8806690457900673,960.0,28.208725236707004
0.0015625,0.8699657739615893,1000.0,37.23198082599086
0.0016250000000000001,-0.8595116631227134,1040.0,34.25014569735277
0.0016875,0.8493009609396546,1080.0,29.586176588113894
0.00175,-0.8393276829047518,1120.0,22.587228208542545
0.0018125,0.8295857100552372,1160.0,50.58193101645641
0.001875,-0.820068864353419,1200.0,41.60517671583332
0.0019375,0.8107709666355237,1240.0,23.567126875561236
0.002,-0.8016858810625104,1280.0,15.986454660437616
0.0020625,0.7928075489357627,1320.0,41.21320163145174
0.002125,-0.7841300141904345,1360.0,58.405131831895645
0.0021875,0.7756474423382146,1400.0,37.72823124349171
0.0022500000000000003,-0.7673541342101794,1440.0,32.72664452135163
0.0023125,0.759244535646356,1480.0,35.7560805575435
0.002375,-0.7513132439230539,1520.0,33.73262739588263
0.0024375,0.743555011665906,1560.0,29.061562636165092
0.0025,-0.7359647487358719,1600.0,30.286260862030662
0.0025625,0.728537522549073,1640.0,32.87842695577085
0.002625,-0.7212685571715741,1680.0,40.40687335862737
0.0026875000000000002,0.7141532314524442,1720.0,51.07378566142447
0.00275,-0.7071870764447685,1760.0,47.333890141611086
0.0028125,0.7003657722454182,1800.0,23.324826262576412
0.002875,-0.6936851444682735,1840.0,4.698682385209872
0.0029375,0.6871411603622182,1880.0,21.220240856165198
0.003,-0.6807299247982023,1920.0,21.21558132568124
0.0030625,0.6744476760661285,1960.0,4.069428688672682
0.003125,-0.6682907816344638,2000.0,21.926391479497468
0.0031875000000000002,0.6622557338818607,2040.0,13.748389560887121
0.0032500000000000003,-0.6563391458291243,2080.0,17.31509601491972
0.0033125,0.6505377469393704,2120.0,27.96231541076999
0.003375,-0.6448483789470403,2160.0,16.2688156753374
0.0034375,0.6392679918174318,2200.0,26.551875805086294
0.0035,-0.6337936397512044,2240.0,35.392566580719745
0.0035625,0.6284224773374495,2280.0,29.976504952914603
0.003625,-0.623151755787649,2320.0,22.035385293891512
0.0036875000000000002,0.617978819311783,2360.0,17.284483355465323
0.00375,-0.6129011015929523,2400.0,10.7678575414097
0.0038125,0.6079161223918678,2440.0,8.442011278268426
0.003875,-0.603021484291198,2480.0,10.302213290903808
0.0039375,0.5982148695100392,2520.0,11.448284243375165
0.004,-0.5934940368995585,2560.0,23.163673235452706
0.0040625,0.5888568190039505,2600.0,25.438212348616332
0.004125,-0.5843011192638052,2640.0,16.633246913382976
0.0041875,0.5798249093229885,2680.0,19.313021653037552
0.00425,-0.5754262264346426,2720.0,23.628580350153186
0.0043125,0.5711031709893001,2760.0,14.337623674694036
0.004375,-0.5668539041206283,2800.0,15.036801683679313
0.0044375000000000005,0.5626766454338077,2840.0,13.203361547981729
0.0045000000000000005,-0.5585696708088975,2880.0,1.6338837174563678
0.0045625,0.554531310296311,2920.0,9.305180536152205
0.004625,-0.550559946113301,2960.0,4.174410996113311
0.0046875,0.5466540107043174,3000.0,2.96086599997389
0.00475,-0.5428119848968841,3040.0,7.313743158032699
0.0048125,0.5390323961251824,3080.0,22.46508558541866
0.004875,-0.5353138167309845,3120.0,25.11386997419334
0.0049375,0.5316548623303711,3160.0,15.335619518021655
0.005,-0.5280541902603693,3200.0,17.46402200403417
0.0050625,0.5245104980683223,3240.0,20.491961990242917
0.005125,-0.5210225220861213,3280.0,19.53418458131797
0.0051875,0.5175890360498825,3320.0,14.690148706345209
0.00525,-0.5142088497786055,3360.0,9.634781098197083
0.0053125,0.5108808079082315,3400.0,15.09081688915236
0.0053750000000000004,-0.5076037886764558,3440.0,13.898973715123374
0.0054375000000000005,0.5043767027571645,3480.0,5.95008810391855
0.0055,-0.5011984921471072,3520.0,5.27577293294468
0.0055625,0.4980681290864645,3560.0,6.8726116947639655
0.005625,-0.49498461503333585,3600.0,9.286318240456902
0.0056875,0.4919469796718482,3640.0,12.945172127671864
0.00575,-0.4889542799718083,3680.0,25.521135915763633
0.0058125,0.486005599266507,3720.0,49.04944149488035
0.005875,-0.48310004638898496,3760.0,45.73605336682178
0.0059375,0.48023675482366435,3800.0,25.79955565355859
