0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
-12.883499,-7.7797394,-4.960491,-0.6838665,12.883371,26.642963,29.88839,32.496296,33.85282,32.20923,29.274916,27.005583,28.550865,28.862364,29.718214,30.592445,31.340675,32.639603,32.32359,29.658934,30.059141,29.615881,29.526627,33.799614,35.981823,32.578156,28.764935,27.042694,30.191175,29.991783,29.662199,28.64985,31.294361,30.20822,25.234283,26.32152,33.082546,30.800053,24.754108,25.899673,26.595015,24.454033,24.026394,25.703917,24.165905,18.963512,17.349466,19.765041,20.02873,19.97083,21.098856,19.612074,19.106483,19.131308,19.664589,18.431818,17.000786,16.389267,16.16624,15.858379,15.717396,15.724644,15.476833,15.9280815,16.474247,15.997082,15.923496,16.538353,16.32801,16.083439,15.565445,15.904739,16.52478,16.546097,18.429436,20.148449,24.720608,25.556458,27.59077,30.548641,35.77427,36.874413
-26.476429,-24.622051,-25.37776,-31.969025,-3.088354,12.209132,20.886967,26.849655,31.723526,33.91951,33.989597,36.69957,36.543797,38.975418,40.442413,39.453568,38.01266,38.765797,37.329704,38.1751,37.417767,35.839264,34.952084,34.77167,31.90909,32.33622,33.786583,32.4028,31.596046,29.332586,29.313986,28.516659,31.505413,32.16614,27.543507,27.315125,32.768875,29.498098,25.891144,25.565384,25.938286,23.82439,22.970434,24.326515,23.882708,21.268003,19.064232,19.200203,19.177547,19.921495,21.147573,22.067892,23.231693,23.896908,23.081697,21.487232,17.917542,18.800745,18.542511,16.166332,14.418007,15.362511,14.000057,13.572033,16.109192,14.058399,11.828506,12.258812,10.275486,5.553547,8.099884,10.059643,7.618088,3.2642593,-1.1225243,-5.6482353,-25.59187,-23.211952,-20.61095,-15.86792,19.647808,23.911564
-36.59735,-38.21318,-42.842903,-57.806267,-26.753897,-10.5964155,-2.1369343,1.8902836,2.4256382,2.1256428,2.6419125,6.629298,6.6677284,5.3018227,6.0178356,3.5268917,3.6921587,3.2038746,0.95198536,0.18499565,1.2391491,-0.5898247,-4.1453743,-6.0835476,-3.0798616,-2.8739796,-3.0510292,-6.8310604,-7.7668552,-9.733831,-10.291538,-10.471213,-9.791614,-9.532993,-10.5578785,-9.918871,-4.3910856,-6.988535,-13.908493,-12.676854,-12.12776,-12.910398,-12.352016,-10.265445,-9.369861,-10.223378,-10.500454,-13.516066,-14.286154,-10.8025,-11.276631,-13.745253,-15.066242,-11.060714,-11.3886175,-15.810859,-17.264729,-16.97894,-15.565196,-17.336487,-22.608295,-20.992847,-21.028954,-23.880716,-22.67389,-24.892029,-27.355518,-26.05843,-25.989187,-28.768608,-28.860573,-28.075512,-29.730633,-31.392082,-33.495037,-39.72287,-55.066227,-51.10261,-47.05127,-42.819263,-10.428402,-0.6474457
-39.01085,-41.469273,-47.60116,-63.359356,-34.54799,-15.410166,-6.816972,-0.6274681,1.4365063,3.3109665,2.4298134,3.333229,1.4921827,-3.0885792,-0.26241875,-1.1543903,-2.3618374,-2.3289633,-5.957138,-3.6501703,-2.9797173,-4.4894114,-6.877693,-10.003879,-9.508414,-10.958603,-9.499063,-9.641293,-12.233098,-12.1299925,-9.406563,-8.506228,-8.552801,-6.89227,-8.320402,-9.44679,-5.9164505,-7.4791126,-8.666051,-8.7074795,-11.448919,-12.377536,-11.771708,-9.820484,-11.5634575,-11.686789,-9.585672,-11.163785,-11.793478,-9.755704,-11.969602,-15.472169,-15.358362,-11.656772,-12.913053,-19.426117,-20.905853,-20.351711,-18.775372,-18.995453,-20.342644,-20.948072,-20.275646,-21.472527,-22.347008,-24.787987,-27.705914,-26.807339,-30.193113,-30.897678,-31.049297,-32.76601,-35.329536,-36.95485,-36.50557,-39.581314,-57.926224,-53.89058,-49.877586,-45.688335,-16.00608,-6.255104
-32.876495,-34.984585,-40.03344,-48.730003,-14.257977,14.808027,27.772854,32.05401,35.710793,39.006737,40.303185,39.014156,35.52853,33.07043,36.504173,34.557053,31.57299,30.158974,25.946184,24.43887,24.141954,23.539062,21.894161,24.8219,27.173845,29.833996,26.131136,26.811499,27.70254,23.167316,24.822922,31.546364,30.013931,34.888607,33.865364,28.09642,30.220325,28.947681,29.987524,31.302864,28.585524,25.533834,25.66711,28.83973,28.19192,31.260328,30.587364,25.972586,23.422157,24.177776,23.33773,22.492626,21.141663,19.872017,18.443209,18.79977,19.97351,18.098732,17.815304,19.304283,16.882318,14.433083,13.859123,14.136524,13.741924,13.307846,12.669655,11.551308,7.8406563,7.040909,8.526844,6.157215,5.3893967,5.8752174,1.2512093,-6.229542,-29.82175,-25.608398,-22.824783,-20.720833,6.5490036,12.360386
-40.145603,-42.960747,-47.285835,-55.259586,-11.857655,19.340496,33.04789,32.453815,31.080036,33.959198,31.569626,28.308313,31.854118,32.224503,30.188286,29.280321,25.525778,24.126793,22.34797,19.07413,23.148745,24.998901,24.628326,28.51297,29.63046,33.52952,32.480022,27.367882,28.914669,29.575615,30.385931,31.591629,30.077133,33.758987,32.879745,30.518625,34.381924,35.939827,30.78525,29.186796,29.849356,27.76325,32.277313,32.73591,30.390963,27.403528,25.051731,24.857212,21.244192,21.500896,19.715164,18.852375,22.256678,24.730381,21.514502,21.928051,20.38281,17.072315,18.657324,19.261585,15.013504,15.552521,17.022327,16.354067,14.912212,13.783398,11.527954,13.570946,12.399296,9.8165245,10.3930435,10.625195,10.024277,9.856056,2.658165,-6.9701157,-28.55288,-28.581627,-24.490524,-19.697922,6.1004715,11.305576
-49.386894,-53.549274,-57.493355,-66.62663,-29.21662,-10.828093,-3.0283613,-1.0229225,0.35292625,0.78313255,1.9032221,0.5601368,2.892784,0.8271723,-3.135994,-3.2768478,-3.7531528,-2.9179745,-9.855787,-10.6441345,-11.616822,-14.042416,-14.023796,-7.3107414,-5.267003,-5.3242073,-6.9784756,-6.5709057,-4.058795,-4.9447184,-5.53957,-4.8928785,-5.7943697,-2.8855324,-4.124194,-5.280259,-5.376685,-5.9498672,-9.143433,-9.352232,-9.223933,-10.443988,-11.11914,-10.646155,-11.37222,-13.504458,-15.733429,-16.147137,-15.74012,-15.783825,-14.170804,-16.306381,-16.830587,-16.966587,-17.359924,-18.65273,-20.608795,-19.78478,-16.605066,-18.626522,-24.250654,-22.07107,-19.04078,-18.593845,-21.890629,-21.695368,-19.408848,-19.31165,-21.704533,-24.01422,-24.565268,-23.593174,-26.431915,-30.333761,-32.925705,-35.012997,-55.893745,-53.85671,-49.751694,-45.39977,-20.965984,-11.974613
-49.44866,-53.513416,-56.303802,-63.59699,-23.34345,-6.290661,-0.4271984,1.6580067,0.62830544,1.6423464,4.5706844,5.2979164,6.0741644,4.95549,-0.7924843,-0.5149002,1.5938721,0.0528965,-7.827032,-9.267342,-8.282105,-9.668003,-8.099679,-5.600217,-0.12565804,1.4745893,-2.3946867,-4.472316,-1.6296053,-2.863987,-1.4991169,0.24226284,-2.032961,-6.23081,-5.5508432,-4.7452993,-5.6126595,-8.105546,-11.548722,-8.655972,-9.51642,-12.530776,-8.554951,-5.844225,-8.891319,-12.538279,-15.180487,-13.941523,-12.065523,-11.598362,-12.608487,-15.645609,-13.109874,-13.860585,-14.883809,-15.172759,-16.878836,-18.345514,-13.947583,-14.22789,-18.117065,-16.945095,-14.9102335,-15.755188,-18.504845,-20.595274,-18.569416,-18.701252,-19.558285,-22.774101,-24.376488,-25.836033,-28.757137,-30.625729,-29.00441,-30.923178,-54.691353,-50.457115,-46.36965,-42.15026,-19.103455,-10.148933
-40.445496,-38.809113,-40.1053,-48.506733,-9.074562,17.585722,24.549881,26.804527,25.094364,24.320236,21.653502,22.111559,20.471493,21.072506,18.532902,20.38358,20.921047,22.885092,23.040384,22.750309,28.660473,31.5827,33.36373,34.276558,34.157547,30.486412,27.607426,28.105377,29.623837,26.628607,25.98196,29.565094,28.821548,28.834108,26.48746,30.630756,33.859814,27.762413,20.221115,21.934021,21.557964,19.79242,22.448677,25.228043,24.982819,20.456322,20.5187,22.429482,20.47527,18.238907,17.004347,18.458961,22.906807,21.292305,17.370651,18.424206,17.442005,13.589458,14.499664,12.401382,10.806618,13.354858,14.565353,13.60685,9.576229,6.7954674,11.390003,15.277039,11.245262,7.3994637,7.9787216,3.8028183,-0.67199326,1.5208397,1.0165672,-4.770355,-27.4552,-24.243454,-21.020073,-17.522942,3.4737625,9.100346
-32.56741,-42.37848,-48.975662,-59.777767,-27.334503,2.6392002,10.911835,12.718774,11.4900465,11.670993,9.111383,4.4375343,7.6925907,10.941244,8.276249,2.9927616,1.1505451,-1.1414509,-3.043497,-0.2895527,5.104515,8.290943,10.587046,10.172434,11.887073,10.5639515,10.64897,10.666744,8.55093,7.0657845,6.549114,8.15612,7.502304,8.904224,8.518986,8.741285,11.832623,9.031628,2.2017117,2.632864,1.5727024,2.9812565,1.3636684,1.2833366,1.9347916,1.1634617,-0.4041214,0.9165325,1.4391403,0.37421417,-3.0738716,-4.5795975,-2.1922894,-3.5010414,-8.169949,-7.077919,-7.015957,-9.3845825,-10.067049,-12.571665,-11.988014,-8.162949,-7.602581,-11.17621,-16.373844,-15.87768,-13.672432,-13.140535,-13.149307,-16.578205,-19.643976,-21.890463,-22.165794,-20.941849,-20.27455,-26.901806,-42.000366,-38.590477,-34.567104,-29.8348,-7.931114,0.66770935
