,peak,avg,low
Raw_Frame,0.0009386007441207767,9.707397111924365e-06,-0.000809720135293901
Hanning_Windowed,0.0005279789825307704,6.416975109565831e-07,-0.0003667593695506763
Hamming_Windowed,0.0005322036347141055,1.3669534435637127e-06,-0.00040219623081013425
