Freq_256,Mag_256,Freq_512,Mag_512,Freq_1024,Mag_1024
0.0,144.1662082179629,0.0,2554.952986430308,0.0,2554.952986430308
62.5,5720.521014292784,31.25,7268.807720994071,15.625,4770.788866313409
125.0,3193.7520961748705,62.5,6683.063570744537,31.25,7268.807720994071
187.5,991.4907048716607,93.75,2692.8980842798023,46.875,7930.745554328183
250.0,516.7187739164873,125.0,1861.3023056754298,62.5,6683.063570744537
312.5,799.4869451554723,156.25,1613.5573275328618,78.125,4499.581910154485
375.0,211.23058486613613,187.5,1298.8714357526815,93.75,2692.8980842798014
437.5,245.63374190493892,218.75,1158.0238304361553,109.375,1926.6956134927848
500.0,478.06190846803923,250.0,1203.8995818507603,125.0,1861.3023056754298
562.5,416.2677315345608,281.25,1696.7163026121473,140.625,1886.6988980095266
625.0,486.02563884745007,312.5,872.238844323478,156.25,1613.5573275328618
687.5,342.48692054900954,343.75,745.2161007143188,171.875,1277.6477596032523
750.0,261.4761674902777,375.0,949.8878162173414,187.5,1298.8714357526815
812.5,185.02143525529686,406.25,319.9148812479285,203.125,1338.3612698217364
875.0,174.98141287932918,437.5,147.09191488129397,218.75,1158.0238304361553
937.5,359.1363103894783,468.75,421.86057315623225,234.375,1007.4007747369088
1000.0,106.62966809729846,500.0,729.0957424968328,250.0,1203.8995818507603
1062.5,317.9704712430841,531.25,535.701621156365,265.625,1546.9287368605085
1125.0,318.8392181851198,562.5,352.08292968254364,281.25,1696.7163026121473
1187.5,402.95236611848935,593.75,262.6086703334602,296.875,1476.0645577191217
1250.0,431.2166280126174,625.0,190.13502761194778,312.5,872.2388443234779
1312.5,335.23015942399593,656.25,32.19303447589119,328.125,233.6368689375184
1375.0,595.7408594082857,687.5,126.08798467102609,343.75,745.2161007143189
1437.5,450.9093007052935,718.75,161.40279060642783,359.375,1053.3633234080894
1500.0,212.50648772110367,750.0,71.483026173015,375.0,949.8878162173415
1562.5,312.46595632589026,781.25,133.7905590043101,390.625,629.1319560717534
1625.0,567.0552280358369,812.5,137.19660052910316,406.25,319.9148812479286
1687.5,689.1006445315447,843.75,81.09375212165548,421.875,133.98115342561883
1750.0,575.5954902384846,875.0,85.09317917024059,437.5,147.09191488129392
1812.5,708.5322104924896,906.25,70.17943152004437,453.125,266.7381906831504
1875.0,572.8610416091258,937.5,214.7882609697543,468.75,421.8605731562323
1937.5,162.95461732629866,968.75,307.9839680616865,484.375,602.6275570933902
2000.0,610.6221973375792,1000.0,248.81761206586347,500.0,729.0957424968328
2062.5,444.12026884506065,1031.25,153.81739010391277,515.625,701.80470207234
2125.0,229.32569714456025,1062.5,116.200120738468,531.25,535.7016211563649
2187.5,277.6557474991256,1093.75,102.58857131325911,546.875,391.6403433527168
2250.0,119.25389747684633,1125.0,220.75668410725706,562.5,352.08292968254375
2312.5,96.75899047148579,1156.25,318.51432943663724,578.125,307.23260415704414
2375.0,168.2268221893083,1187.5,426.10690338785975,593.75,262.6086703334601
2437.5,234.02185060791084,1218.75,373.7572025852427,609.375,245.7233751779199
2500.0,45.278660121017666,1250.0,267.9625173211189,625.0,190.13502761194778
2562.5,274.72459836806115,1281.25,321.49988491950234,640.625,94.11412105291912
2625.0,274.50493186562016,1312.5,420.93553043993387,656.25,32.19303447589112
2687.5,371.05850333718087,1343.75,503.3447817399034,671.875,49.8862285299262
2750.0,397.0708038727963,1375.0,603.285426613976,687.5,126.08798467102609
2812.5,700.6690208776586,1406.25,375.97175315759745,703.125,178.5836805436032
2875.0,487.9025567390551,1437.5,285.9664692590064,718.75,161.40279060642766
2937.5,448.0198987778838,1468.75,368.5169865759808,734.375,118.43417394705888
3000.0,182.06290404516156,1500.0,302.49828491534504,750.0,71.483026173015
3062.5,1066.896381361401,1531.25,368.4119855110415,765.625,28.89964736508832
3125.0,1034.0849675487752,1562.5,375.1926843967286,781.25,133.79055900431004
3187.5,1240.087127009192,1593.75,291.9117666260001,796.875,172.0415980185711
3250.0,276.7144193785157,1625.0,586.926279041955,812.5,137.1966005291033
3312.5,533.671709822501,1656.25,633.0104098386543,828.125,108.73683921985891
3375.0,397.6171075489032,1687.5,532.2373148915245,843.75,81.09375212165556
3437.5,853.6865535687671,1718.75,222.3083888485744,859.375,4.308625993705687
