0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
-22.083567,-16.416418,-16.435995,-15.753077,-16.135317,-16.953693,-17.124453,-18.012634,-18.993547,-19.685596,-20.810333,-21.601616,-22.080713,-22.804438,-23.609148,-24.765034,-25.388645,-26.01586,-27.06259,-28.122047,-29.01394,-29.731318,-30.41955,-31.33319,-32.23618,-32.989483,-33.738434,-34.687805,-35.670918,-36.267025,-36.644814,-38.112858,-38.91697,-39.59096,-40.10227,-40.537895,-40.853886,-40.953438,-40.491726,-39.99885,-40.105934,-40.289333,-41.854,-47.519302
-13.069208,-5.3628435,-3.1541624,-2.449582,-2.5255537,-3.2492552,-3.966895,-4.6625166,-5.474478,-6.217992,-7.00599,-7.9854574,-8.858591,-9.88625,-10.695826,-11.366985,-12.119195,-13.145042,-13.876567,-14.632475,-15.580328,-16.341425,-17.062355,-18.092121,-18.906174,-19.57885,-20.480621,-21.28212,-22.301466,-23.28828,-23.858845,-24.671646,-25.465176,-26.169575,-26.76804,-26.958103,-26.971054,-26.764517,-26.806309,-27.050278,-27.061043,-27.073729,-28.941256,-35.38056
-12.116586,-5.1743803,-6.2311316,-5.4733744,-2.7063494,-4.5777607,-8.024862,-5.130248,-5.550956,-9.695473,-8.481508,-7.440238,-10.169081,-11.521595,-9.916673,-11.153796,-13.33581,-12.970114,-13.313522,-14.939301,-15.979178,-16.35377,-16.991108,-18.281528,-20.382763,-20.83641,-20.530775,-22.888094,-25.842525,-23.649061,-23.963043,-28.366188,-28.498554,-26.422945,-28.536636,-31.325329,-28.05198,-27.245003,-30.113144,-29.509647,-27.129488,-28.653522,-33.32944,-38.795654
-23.250015,-16.661062,-16.973501,-16.307386,-14.464603,-16.374317,-19.841105,-17.57646,-18.47532,-24.242348,-22.35991,-21.09037,-25.870691,-28.355732,-24.423075,-26.839277,-32.426258,-29.302631,-29.432156,-32.7523,-34.10498,-34.082134,-33.625748,-34.71266,-39.067635,-38.318962,-35.083992,-37.37252,-42.520313,-37.09797,-36.578594,-41.151897,-40.817734,-38.26187,-39.946217,-42.060146,-39.14911,-38.3023,-40.446514,-39.930687,-38.072716,-39.263557,-43.120155,-48.87656
-29.019384,-26.329552,-33.82141,-35.410427,-36.003044,-37.359936,-41.167374,-42.07071,-40.976013,-43.34534,-46.17979,-48.84361,-49.6111,-48.81742,-45.61043,-47.61004,-51.570835,-52.07622,-51.634293,-55.359257,-57.67388,-54.639347,-55.27869,-58.733185,-56.73138,-54.194164,-54.521366,-54.974197,-56.381462,-55.054344,-56.373756,-58.040016,-55.619884,-59.3982,-60.674076,-58.053574,-56.041904,-54.88387,-55.385864,-59.418903,-60.092884,-64.00393,-64.29703,-65.79932
-19.888874,-12.338972,-11.142704,-11.120186,-11.135015,-11.931313,-13.094305,-14.206462,-15.097389,-16.68377,-17.91597,-19.396584,-20.961796,-22.634445,-24.54599,-26.468582,-28.751774,-30.869755,-33.303917,-35.617813,-36.915565,-35.694084,-33.969154,-31.800575,-29.635832,-28.46987,-27.53962,-26.950356,-26.883297,-26.77748,-27.024117,-27.446714,-28.127441,-28.97493,-29.760881,-30.183186,-30.630337,-30.87071,-31.290552,-31.618904,-31.988232,-32.905724,-35.102615,-41.704998
-17.913616,-9.675394,-8.732935,-8.647752,-8.623112,-10.224577,-10.817264,-13.12556,-13.016959,-15.997342,-17.163504,-19.778267,-23.117016,-25.177067,-29.86559,-30.881931,-33.34385,-34.393272,-33.040092,-31.738796,-31.540451,-29.919975,-30.908915,-30.336899,-30.869013,-31.55255,-31.308144,-32.472942,-31.239288,-31.085491,-30.340446,-29.866947,-30.1501,-29.793095,-29.992964,-29.093243,-29.365784,-28.823868,-29.28609,-29.30059,-29.477074,-30.512125,-32.329258,-38.931187
-28.029728,-17.536743,-10.114284,-5.63395,-5.6565046,-9.4195175,-9.310744,-7.3038244,-8.366077,-12.067782,-11.975248,-12.642379,-13.712603,-14.851777,-17.144726,-19.703703,-18.497232,-17.609552,-21.937304,-22.899265,-19.71554,-20.905766,-23.968748,-24.131905,-23.436283,-23.262188,-25.878307,-29.265772,-26.68225,-28.087685,-31.018755,-29.847212,-31.820972,-33.843742,-30.870064,-31.77666,-34.87407,-31.750648,-30.379349,-33.821392,-33.198105,-31.460114,-33.289593,-40.70205
-20.615768,-8.510758,-3.7213192,0.0,-0.08908558,-5.1736984,-6.155217,-3.1283865,-3.6709185,-8.321491,-9.337072,-9.406356,-8.900137,-9.307119,-12.144981,-14.637255,-11.458914,-10.066528,-12.877526,-14.585998,-11.813134,-11.517197,-14.489252,-16.017984,-14.7823105,-14.544915,-17.14287,-20.741148,-18.81956,-19.556583,-22.008146,-22.75465,-24.937862,-26.74101,-24.803886,-26.531624,-30.195808,-27.003838,-25.522045,-28.29311,-27.665873,-26.085037,-27.311695,-34.34809
-16.791578,-8.474205,-7.255395,-8.086377,-10.258685,-14.739764,-18.629944,-19.921595,-21.115015,-22.83168,-21.352222,-18.173262,-16.25155,-15.170014,-16.333048,-17.759174,-19.241282,-21.0467,-21.716671,-21.63821,-21.27967,-20.834606,-20.433203,-20.104004,-19.999249,-19.928886,-20.375166,-20.819038,-21.82986,-23.045185,-24.702518,-26.56725,-29.01183,-31.418507,-33.72809,-35.353397,-35.40644,-34.8147,-34.502094,-33.78876,-32.843876,-32.29066,-33.546196,-39.21213
