0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
4.4910555e-09,1.0470378e-08,1.3046076e-08,8.586422e-09,4.0537502e-09,2.3062028e-09,1.4797281e-09,8.442287e-10,1.0371262e-09,9.942779e-10,7.662557e-10,4.3648887e-10,3.6108208e-10,5.126005e-10,4.745804e-10,2.936748e-10,1.5631785e-10,1.335036e-10,9.879591e-11,1.2117246e-10,1.9052789e-10,1.9925035e-10,1.5141327e-10,1.4691524e-10,9.80846e-11,9.9097536e-11,6.803604e-11,9.028028e-11,8.648152e-11,7.684134e-11,7.9018736e-11,1.2974358e-10,1.2135588e-10,1.4562174e-10,1.12908245e-10,9.102411e-11,8.563128e-11,7.296192e-11,1.0233556e-10,8.260095e-11
3.563417e-06,2.0346539e-05,1.0859013e-05,1.745404e-06,4.4225055e-07,4.0528874e-07,1.4960474e-07,4.9125745e-08,1.4875846e-07,1.01344476e-07,9.1255544e-08,3.5153406e-08,2.1557497e-08,8.053561e-08,8.937441e-08,3.114119e-08,1.6049395e-08,1.7471365e-08,1.8691907e-08,5.8592377e-08,5.6197745e-08,4.245727e-08,2.6136506e-08,1.5673944e-08,1.4639485e-08,2.882787e-08,1.627533e-08,1.41479735e-08,8.157199e-09,8.642625e-09,1.48182835e-08,1.3194824e-08,1.3228414e-08,1.1421152e-08,9.651001e-09,7.81551e-09,6.2416965e-09,8.389077e-09,9.654639e-09,5.147828e-09
1.3242812e-05,0.0001155701,2.6822898e-05,8.4069404e-07,5.6955867e-07,2.9978366e-07,2.45077e-07,6.992636e-08,1.2802631e-07,6.299793e-08,1.4007888e-07,8.932706e-08,7.112591e-08,8.2609446e-08,3.9642913e-08,3.4992972e-08,2.698675e-08,2.9622623e-08,1.6749576e-08,2.0901169e-08,2.2744667e-08,2.9560558e-08,1.5806883e-08,2.245965e-08,2.7766871e-08,1.335803e-08,1.4951993e-08,1.8284615e-08,2.061121e-08,1.5908965e-08,2.3038229e-08,1.9029653e-08,1.388607e-08,2.0501734e-08,1.3632817e-08,1.2626171e-08,1.1969698e-08,1.2810351e-08,9.1811385e-09,6.6684986e-09
6.5498502e-06,9.17939e-05,4.322987e-05,1.6840659e-06,3.847415e-07,5.9563767e-08,8.334473e-08,9.378378e-08,5.1856187e-08,6.621217e-08,5.4392856e-08,6.024276e-08,4.246686e-08,3.404008e-08,3.381238e-08,2.478474e-08,1.6644869e-08,2.6588676e-08,2.3628159e-08,2.2497437e-08,2.501489e-08,2.5784262e-08,2.6042759e-08,1.8504988e-08,1.7578728e-08,1.1986762e-08,8.1343e-09,1.0684401e-08,1.4261537e-08,1.6141477e-08,1.3261127e-08,9.161403e-09,1.0488256e-08,2.1148718e-08,9.378049e-09,8.892511e-09,8.671278e-09,1.340514e-08,1.1536431e-08,6.668047e-09
4.2717293e-05,0.0007967354,0.00041678164,5.536772e-06,6.202248e-07,3.38834e-07,1.7585745e-07,1.2110084e-07,7.160579e-08,5.7831347e-08,5.3710405e-08,2.4272543e-08,3.195509e-08,1.283848e-08,7.436168e-08,7.7399434e-08,4.439466e-08,5.226571e-08,2.5822558e-08,1.31518085e-08,3.216286e-08,4.0314227e-08,1.4410334e-08,3.097595e-08,2.2940418e-08,2.20145e-08,1.6650022e-08,1.496887e-08,1.5628991e-08,1.5444124e-08,1.5785306e-08,1.0750391e-08,1.7439154e-08,1.3467597e-08,1.1348653e-08,1.0048069e-08,9.596027e-09,1.2587413e-08,1.1743402e-08,1.13546195e-08
0.0003068524,0.012188157,0.0075978553,1.68495e-05,1.4501784e-06,4.2083417e-07,3.6398612e-07,8.2053724e-08,1.3940806e-07,1.2304342e-07,5.4490258e-08,6.318122e-08,4.082505e-08,2.4644198e-08,1.0979624e-08,2.1182064e-08,1.994528e-08,2.3137307e-08,1.8209825e-08,5.8665844e-08,2.9968128e-08,2.9689248e-08,1.9560494e-08,2.5194971e-08,3.4426378e-08,4.4422194e-08,1.7715259e-08,1.528073e-08,2.121545e-08,1.09670015e-08,9.685396e-09,2.3094135e-08,2.7471337e-08,2.1991069e-08,1.3993823e-08,1.4249773e-08,1.27982425e-08,1.38169645e-08,1.0623889e-08,9.588226e-09
0.001631281,0.07757177,0.02869634,0.0001957254,1.0705702e-05,8.547362e-07,2.5263225e-07,3.670182e-07,4.0676755e-07,3.0951446e-07,1.1991179e-07,4.8945594e-08,1.1115736e-07,4.7735224e-08,5.0835226e-08,2.6575798e-08,2.761422e-08,4.419459e-08,3.6863813e-08,3.5168455e-08,5.6938404e-08,2.627941e-08,5.0570065e-08,3.542337e-08,3.7013024e-08,3.4243655e-08,1.4817538e-08,1.4641608e-08,1.3458729e-08,1.4838269e-08,2.4852358e-08,1.8739215e-08,1.4667621e-08,1.8616545e-08,1.586788e-08,1.2809375e-08,7.554014e-09,1.0276356e-08,8.623616e-09,9.791612e-09
0.0017446496,0.15342936,0.08054821,0.0006409867,1.2482098e-05,7.5513253e-07,6.6925963e-07,8.663493e-07,2.9954657e-07,5.669764e-08,7.47946e-08,5.896979e-08,7.686913e-08,1.4647767e-07,7.209762e-08,6.6545425e-08,4.793099e-08,4.7345292e-08,3.1028442e-08,3.3130064e-08,3.3751945e-08,3.4319502e-08,2.3131708e-08,4.696644e-08,5.0235652e-08,2.6369726e-08,1.4395001e-08,1.5641644e-08,1.40452325e-08,2.0092608e-08,2.1974428e-08,1.5539722e-08,1.5951414e-08,9.018615e-09,1.4950727e-08,1.5662225e-08,8.357882e-09,7.661707e-09,8.063762e-09,7.9029485e-09
0.0031403897,0.13785827,0.08914663,0.001108504,8.397061e-06,2.7779538e-06,3.620331e-07,3.2582125e-07,4.6571384e-07,2.474962e-07,9.108696e-08,6.365061e-08,9.9403834e-08,1.04447345e-07,4.5793264e-08,2.8494783e-08,2.7548795e-08,3.9150088e-08,5.039194e-08,3.5022037e-08,4.9570506e-08,5.8230892e-08,7.17362e-08,5.7565018e-08,7.979056e-08,2.0747844e-08,2.2005532e-08,3.5409045e-08,2.0327281e-08,2.4812623e-08,9.033153e-09,2.4907335e-08,1.6944975e-08,1.3162559e-08,1.0484214e-08,1.1322702e-08,8.202532e-09,7.862752e-09,8.030615e-09,7.0588175e-09
0.006161222,0.25565735,0.07809222,0.0013207549,0.0001262204,4.2347338e-06,1.5193616e-06,4.0252218e-07,8.552783e-07,5.4810755e-07,1.1228298e-07,4.3087653e-08,9.8540866e-08,1.4922105e-07,6.777587e-08,4.187898e-08,4.359269e-08,2.6359382e-08,4.9486676e-08,6.92781e-08,9.095415e-08,4.210712e-08,6.312316e-08,9.543717e-08,1.2393056e-07,3.792408e-08,3.143637e-08,1.2190838e-08,1.1580685e-08,2.3564205e-08,2.184307e-08,2.0525928e-08,1.36973215e-08,1.140448e-08,1.00424895e-08,8.410038e-09,8.582416e-09,1.1692227e-08,8.756692e-09,6.87743e-09
