MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Delta9,Delta10,Delta11,Delta12,Delta13,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12
1.599852,0.6869382,-1.9775524,-0.09779135,-0.44150668,-0.4749807,-1.470594,-0.9395737,-1.997337,-2.3345432,-2.2920082,2.5831995,-0.92950845,1.770313,2.2024655,-2.626621,0.21118161,-1.046386,-0.3182678,-0.8680821,-0.5366261,-1.1055106,0.84200644,-2.2451303,-0.237827,-1.7732573,1.6631576,0.29752254,-0.67187786,-0.55833393,-0.730721,-1.1244167,-1.3887093,0.9655685,1.1006547,-0.72059804,0.5738615,1.5423914
1.6825657,0.78622913,-1.8575301,0.17153831,-0.53547895,-0.2110893,-1.0956697,-0.49638486,-1.6700628,-1.0451915,-2.008983,2.2132938,-0.817462,1.1334305,1.7009687,-2.0581105,0.12222469,-0.55709517,-0.104018934,-0.57554317,-0.1979797,-0.61609143,0.7674417,-1.1223673,-0.62830883,-1.1272911,1.5089794,0.69074583,-0.16084313,-0.34811834,-0.052774206,0.21091159,-0.31165603,0.9655685,1.2018082,0.25001988,0.90447104,1.1936219
1.4605231,0.8802383,-1.9050153,0.36195287,-0.93661696,-0.47924602,-0.6185072,-0.48735982,-1.7210156,0.93146545,-0.9655243,1.0390472,-0.37551606,0.35931098,1.1004165,-1.0593729,-0.27598187,-0.36459553,-0.22428688,-0.13254318,0.036457412,0.12923904,0.7974186,-0.15778504,-1.814435,-0.7073509,0.24376489,0.09475859,-0.12247477,-0.040642202,-0.030560488,-0.25759235,0.6301988,0.9655685,1.1595536,0.7082397,0.09034279,0.49830088
1.2000612,0.88690466,-2.4507692,0.31993943,-1.0950004,-0.35176483,-0.76937824,-0.46700606,-1.8709501,1.6308802,-0.7441726,-0.16234964,-0.54538083,-0.38002697,0.3657137,0.063139066,-0.5866934,-0.43658504,0.06314901,0.7107774,0.26375043,1.0976261,1.248164,0.9275678,-3.4000223,-0.66437006,-0.5149863,-0.50234944,-0.3002446,-0.3516293,-0.52786535,-0.2983351,1.3442309,0.23406483,0.40641993,-0.45655856,-0.84095794,-0.51983243
0.96950936,0.97345316,-2.509328,0.25815997,-0.55623555,0.31334364,-0.67609286,-0.44727412,-1.2927496,-0.5050905,-0.60919255,0.40999183,-0.0929544,-0.4729428,0.3785901,0.3352051,-1.2224295,-0.7460509,0.062050674,0.79676455,0.0098277945,1.3867805,0.86533535,0.50634176,-3.4925025,-0.8505506,1.1884859,0.44455826,0.48281068,-0.06724073,0.40367508,2.121094,1.082441,-0.16950464,0.8542295,-0.076160446,0.68636036,0.25798392
0.7458332,0.85078686,-2.3563168,0.25489387,-0.2007784,-0.047816396,-0.727114,-0.39528862,-1.0148491,-1.7563943,-0.8225977,0.097668,-0.34959087,-0.2951139,0.32880372,0.4830967,-1.493809,-1.083973,0.07055999,0.54393655,-0.024857268,1.7005546,0.7641552,-0.010672444,-2.5432475,-1.0255773,0.37440667,0.14694881,-0.11284286,-0.4230237,0.7179784,1.4159803,-0.570461,0.9655685,0.5397189,-0.3385197,0.8542618,0.68787634
0.71278393,0.85098076,-1.6871291,-0.6301007,-0.18418539,-0.36055976,-0.51642895,-0.60029256,-0.780378,-0.9568606,-0.942142,-1.1816418,-0.48033288,-0.09727274,0.29984516,0.68614465,-1.3921415,-1.0205494,0.07209879,0.39373264,0.1443694,2.0722423,0.59617406,-0.5221653,-1.5580513,-1.4738164,0.035683885,-0.3371597,-0.5658509,-0.65321654,0.14019033,0.7710745,-0.3216352,0.9655685,0.14305793,0.3522816,-0.022186382,0.12510005
1.099724,1.2075665,-1.2642078,-1.5239853,-1.4241291,-0.4831907,-0.1772844,-0.91920197,-0.30410317,0.26198882,-1.1382366,-2.343808,-1.933228,-0.014227984,0.30997676,0.9291269,-1.106549,-0.90601605,0.06276334,0.2927364,0.13681684,1.9557471,0.7618344,-0.6915194,-1.2951237,-1.750046,-1.3215014,-1.3140702,-1.2935752,-1.2711554,-1.2177061,-1.1641542,-1.5462663,0.9655685,-0.72682965,-0.47103438,-1.1913006,-1.2384192
1.224643,1.1840737,-1.4807248,-1.4940519,-2.0491867,-0.23637527,-0.102048844,-0.61208004,0.037388783,1.088494,-1.650684,-1.7006928,-1.6978099,-0.06729616,0.2498701,1.01745,-0.72028255,-0.80197066,-0.09626873,0.14899547,0.08907714,1.583227,1.4300654,-0.5237234,-1.4853835,-1.6758738,-1.4484183,-1.3896594,-1.3723967,-1.3457849,-1.3494626,-1.4526253,-1.2774398,0.9655685,-1.2081367,-1.0747432,-1.4273047,-1.40437
1.1487192,1.1146395,-1.4834309,-1.17175,-2.0969582,0.042961575,-0.39998996,-0.29571465,0.740235,1.9329151,-1.0513614,-0.541472,-0.99764186,-0.1362508,-0.06865005,1.3210942,-0.25003186,-0.00029321786,0.103022404,-0.2903545,0.49045187,0.81458163,1.1117864,-0.3527802,-0.34620166,-1.0190101,-1.4113499,-1.3650005,-1.3490605,-1.2743764,-1.0945791,-0.90934265,1.3442309,0.14909677,-1.8236623,-1.7542788,-1.5619763,-1.5060012
