Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
0.32673123,0.262284,0.24625881,0.2829168,0.30432716,0.30268273,0.2814099,0.2770107,0.28505045,0.31574175,0.27426532,0.29570588
0.4110186,0.29443982,0.23121245,0.1999466,0.1679079,0.14136957,0.18413578,0.24723117,0.29771334,0.38037637,0.34886014,0.39076927
0.2279556,0.21416834,0.24528795,0.29509002,0.3199634,0.31814787,0.30828106,0.3221787,0.29499456,0.339448,0.29439828,0.25214255
0.27879146,0.24508215,0.23983584,0.2430608,0.25391755,0.24310608,0.25987265,0.34078062,0.32826847,0.3414696,0.34829304,0.30446795
0.30206177,0.2740518,0.26098755,0.2536657,0.2590817,0.24320516,0.23774773,0.2846079,0.3354397,0.34597495,0.32833064,0.31205186
0.22570807,0.21449316,0.2382533,0.28392214,0.3300575,0.32433143,0.3027036,0.32560995,0.3235345,0.3121818,0.29159892,0.25832143
0.3443943,0.2859143,0.23254356,0.18487348,0.16676411,0.16340238,0.18660012,0.2699418,0.3749819,0.37516516,0.37005907,0.36178455
0.25131074,0.23069626,0.23893848,0.28210562,0.32281494,0.32874534,0.28820962,0.3035222,0.34097615,0.30844992,0.2817795,0.26204517
0.29174963,0.26979005,0.24483259,0.23541503,0.24350844,0.24239801,0.24323422,0.30585393,0.3297947,0.35175824,0.349162,0.31868023
0.30053753,0.2690674,0.25202715,0.257415,0.2561324,0.24350631,0.2848476,0.3028605,0.30456057,0.33886686,0.32103056,0.31478485
0.22948594,0.2228042,0.2499394,0.3121032,0.34817445,0.32382888,0.3167044,0.3078622,0.30965468,0.30154276,0.26541427,0.24369293
0.3335373,0.28594497,0.24456257,0.20494008,0.18002133,0.1579659,0.18513575,0.32061625,0.33931455,0.37252456,0.36284283,0.35381106
0.23977405,0.23398283,0.26462704,0.318982,0.34297654,0.3197034,0.28941038,0.32902774,0.31537512,0.28829724,0.24968356,0.24331895
0.30168277,0.2734397,0.25116625,0.25741997,0.26602206,0.23470896,0.23135564,0.29562393,0.3342109,0.34684154,0.32638597,0.3155471
0.30317292,0.2786032,0.26865038,0.27774787,0.28245798,0.26025626,0.254622,0.26941916,0.29456788,0.32003707,0.32632148,0.31707254
0.2386235,0.23688485,0.26404265,0.3125095,0.34271225,0.32848573,0.32485607,0.29266953,0.28497764,0.28960717,0.27256596,0.2522806
0.3737547,0.31856626,0.2556685,0.21488656,0.18940187,0.18789825,0.20433491,0.227154,0.28263846,0.33700505,0.370863,0.3895555
0.25501385,0.26125595,0.2837108,0.32716534,0.35536745,0.35032606,0.3148691,0.265842,0.25058454,0.25850925,0.2539134,0.2574174
0.32711926,0.30100584,0.26308066,0.2498046,0.24535002,0.24338324,0.2678396,0.2665318,0.2853812,0.31376877,0.33313054,0.3430687
0.30476403,0.2810645,0.27286586,0.27666187,0.28211617,0.26721993,0.288919,0.3021551,0.27305362,0.28740638,0.30428374,0.31875813
0.21676898,0.23140432,0.2836185,0.32975274,0.36758676,0.35197943,0.32085353,0.30527765,0.2824577,0.25997028,0.23898089,0.2250716
